Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
11.09.2020;177,89;177,94;178,27;173,1;369
10.09.2020;174,22;174,27;174,45;171,11;340
09.09.2020;172,86;172,7;175,35;172,33;419
08.09.2020;172,65;172,57;177,43;172,4;638
07.09.2020;177,19;176,96;179,75;175,94;389
04.09.2020;178,4;178,36;180,56;178;430
03.09.2020;179,94;180,01;182,59;178,6;629
02.09.2020;182,21;182,01;186,29;181,1;503
01.09.2020;183,76;183,51;184,87;181,01;480
31.08.2020;180,99;180,72;184,28;180,51;474
28.08.2020;182,75;182,48;185,22;182,48;343
27.08.2020;184,25;184,48;188,01;182,62;381
26.08.2020;187,7;187,88;187,99;185;254
25.08.2020;186,14;186,1;187,99;184,73;195
24.08.2020;186,99;186,99;187,44;184,84;242
21.08.2020;183,8;183,75;187,79;183,5;338
20.08.2020;185,79;185,58;188,94;185,58;377
19.08.2020;189,5;189,3;191,99;189,3;314
18.08.2020;190,7;190,41;191,95;189,25;277
17.08.2020;190,18;189,81;194,68;189,2;557
14.08.2020;192,99;193;194,27;190,71;297
13.08.2020;194,13;194,44;194,44;191,25;378
12.08.2020;192,9;193,29;193,29;189,32;356
11.09.2020;193,25;193,86;193,02;189,03;402
10.09.2020;193,2;194,01;192,53;188,34;431
09.09.2020;193,16;194,16;192,04;187,64;461
